id
1299411007740272641
1299406563036332034
1299405097135415302
1299404899113996288
1299404076040564739
1298925239292829696
1298919547177766912
1298897871807418368
1297587210406027270
1297581775435313153
1296528976664551424
1296523336978255877
1296520738204196864
1296519809253945349
1296517509533835272
1296369548237643777
1296147073352572936
1296147071599288320
1296004208802574344
1295834143595679744
1299480913173045249,1299428593517449217,1598655367000,2020-08-29,00:56:07,W. Europe Daylight Time,837435889651363841,aria79813912,Aria,,تا همینجای کار هم پیروزی هست که چندتا از این نامردها حداقل آبروشون رفت و فهمیدند تجاوز بدون هزینه نیست . واقعا قدرت تویتتر نباید دست کم گرفت.اینکه ما اینجا توییت بزنیم و پلیس ایران بره کیوان امام رو دستگیر کنه  اتفاق خیلی مثبتیه,['eveavaaa'],[],[],0,0,0,[],[],https://twitter.com/Aria79813912/status/1299480913173045249,False,,0,,,,,,,"[{'user_id': '837435889651363841', 'username': 'Aria79813912'}, {'user_id': '1089005632701648896', 'username': 'EveAvaaa'}]",,,,
1215094309801742336,1215094309801742336,1578536033000,2020-01-09,03:13:53,W. Europe Daylight Time,150136103,danielchayau,Author,,Check out the Audio Book Elven Magic on Audible https://www.audible.com/pd/Elven-Magic-Book-1-2-3-and-4-Audiobook/B078WHKMN3?qid=1578536018&sr=1-1&pf_rd_p=e81b7c27-6880-467a-b5a7-13cef5d729fe&pf_rd_r=8HSZQ1NAT7REM0S4K01V&ref=a_search_c3_lProduct_1_1 …,[],['https://www.audible.com/pd/Elven-Magic-Book-1-2-3-and-4-Audiobook/B078WHKMN3?qid=1578536018&sr=1-1&pf_rd_p=e81b7c27-6880-467a-b5a7-13cef5d729fe&pf_rd_r=8HSZQ1NAT7REM0S4K01V&ref=a_search_c3_lProduct_1_1'],[],9,31,225,[],[],https://twitter.com/danielchayau/status/1215094309801742336,False,,0,,,,,,,"[{'user_id': '150136103', 'username': 'danielchayau'}]",,,,
1299479474464002050,1299479474464002050,1598655024000,2020-08-29,00:50:24,W. Europe Daylight Time,1222791309531975680,kave2540,Kave,,#كيوان_امام,[],[],[],0,0,0,['#كيوان_امام'],[],https://twitter.com/Kave2540/status/1299479474464002050,False,,0,,,,,,,"[{'user_id': '1222791309531975680', 'username': 'Kave2540'}]",,,,
1299478173256757252,1299396648641142784,1598654714000,2020-08-29,00:45:14,W. Europe Daylight Time,2616441939,pouneh_ft86,پونه🎗,,"نگران بچه های #قاضی_منصوری جنایتکار هم بودند سمانه خانم ؟!؟!
#محمدرضا_گلزار #کیوان_امام #ایدین_اغداشلو pic.twitter.com/jJFLuhLMkD",[],[],"['https://pbs.twimg.com/media/EgiserLX0AAHXPQ.jpg', 'https://pbs.twimg.com/media/EgisesXXsAA5JFJ.jpg']",0,0,1,"['#قاضی_منصوری', '#محمدرضا_گلزار', '#کیوان_امام', '#ایدین_اغداشلو']",[],https://twitter.com/pouneh_ft86/status/1299478173256757252,False,,0,,,,,,,"[{'user_id': '2616441939', 'username': 'pouneh_ft86'}]",,,,
1299476602968051713,1299387153873600512,1598654339000,2020-08-29,00:38:59,W. Europe Daylight Time,1071799196,4the_name,Behnam,,وقتی تجاوز گلزار با تجاوز کیوان امام مقایسه کرد هدفش از این رشتو رو لو داد.,['gavaazn'],[],[],0,0,0,[],[],https://twitter.com/4the_name/status/1299476602968051713,False,,0,,,,,,,"[{'user_id': '1071799196', 'username': '4the_name'}, {'user_id': '256433565', 'username': 'Gavaazn'}]",,,,
1299474618357559301,1299310961694834688,1598653866000,2020-08-29,00:31:06,W. Europe Daylight Time,431711549,nasser_g_afshar,Nasser Ghajar Afshar,,"یک لحظه خودتون رو بذارید جای دختری که بهش تجاوز شده، تهدید شده، مدت‌ها ازش اخاذی شده، عکس‌هاش به دست مادرش رسیده و سکته کرده، از خونه و خونواده رونده شده، از اجتماع فاصله گرفته، و حالا تازه زبون باز کرده.
#کیوان_امام تو انسانی؟","['samane_savadi', 'mahtabsa517']",[],[],0,0,0,['#کیوان_امام'],[],https://twitter.com/nasser_g_afshar/status/1299474618357559301,False,,0,,,,,,,"[{'user_id': '431711549', 'username': 'nasser_g_afshar'}, {'user_id': '2391568879', 'username': 'samane_savadi'}, {'user_id': '824785895563915267', 'username': 'MahTabSa517'}]",,,,
1299474410739507200,1299474410739507200,1598653817000,2020-08-29,00:30:17,W. Europe Daylight Time,1243264832121561089,musawism,💚مْْْْْْْْْْوْْْْْْْْْسویسْْْْْْْْْْمْْْْْْْْْ💚,,خود ‌#کیوان_امام داره میگه لاشیا چه خبرتونه منو بردین تو حاشیه لامصبا😂,[],[],[],1,0,1,[],[],https://twitter.com/musawism/status/1299474410739507200,False,,0,,,,,,,"[{'user_id': '1243264832121561089', 'username': 'musawism'}]",,,,
1299472640701272074,1299465104879124485,1598653395000,2020-08-29,00:23:15,W. Europe Daylight Time,4341725836,p_t_a__,پان تِ آ,,"تفاوتش با ماجرای کیوان امام و اغداشلو و.. اینه که اولا روایات متعدد، و از جانب تعداد زیادی از افراد بود و همین موضوع رو باورپذیر میکرد دوما اسکرین شات های مختلفی از این افراد منتشر شد، 
با این روند هرکس میتونه یه اسمی بیاره و یه اتهامی بزنه بدون مدرک و مرز بین واقعیتو دروغ کجاس؟",[],[],[],0,0,2,[],[],https://twitter.com/P_T_A__/status/1299472640701272074,False,,0,,,,,,,"[{'user_id': '4341725836', 'username': 'P_T_A__'}]",,,,
1299472495372836871,1299472495372836871,1598653360000,2020-08-29,00:22:40,W. Europe Daylight Time,152163577,yazdown,یزدان,,یهو می‌بینی این داستان گلزار یه نقشه‌ست برای تبرئه کیوان امام.,[],[],[],0,0,8,[],[],https://twitter.com/Yazdown/status/1299472495372836871,False,,0,,,,,,,"[{'user_id': '152163577', 'username': 'Yazdown'}]",,,,
1299470073703391233,1299469547515371520,1598652783000,2020-08-29,00:13:03,W. Europe Daylight Time,3285705368,sina_prh,سـىىا,,مثلا کیوان امام یا رضا رفیع یا چند نفر دیگه گفتن تجاوز کردن از دایرکتاشونم اسکرین شات دادن و باور پذیره ولی خدایی هر کی همین‌جوری راجع به تجاوز یکی یه چیزی پروند باور نکنیم,[],[],[],2,0,4,[],[],https://twitter.com/sina_prh/status/1299470073703391233,False,,0,,,,,,,"[{'user_id': '3285705368', 'username': 'sina_prh'}]",,,,
